"District","ID","Democrat","Republican","Other party","White","Black","Asian","Other","Latino","Name code","Population","Lat","Lng","Link"
1,01,0.3071969166,0.4401405385,0.2526625449,0.821042884,0.0123640448,0.0174721445,0.0510424124,0.0980785143,MTCAP,466514,40.82080665,-121.3737502,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#40.8208066508,-121.373750154,9,stateAssembly,40.8208066508,-121.373750154,current"
2,02,0.466206421,0.258480719,0.27531286,0.714696032,0.0119658009,0.0280381697,0.0657137185,0.1795862789,DMNDO,463404,40.23624432,-123.4649311,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#40.2362443185,-123.464931132,9,stateAssembly,40.2362443185,-123.464931132,current"
3,03,0.3379245137,0.4180565215,0.2440189648,0.6500875298,0.0160325641,0.0625950194,0.0493024267,0.2219824599,YUBA,468983,39.71437415,-122.0761946,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#39.7143741473,-122.076194566,9,stateAssembly,39.7143741473,-122.076194566,current"
4,04,0.4681908294,0.2711833268,0.2606258438,0.5778938002,0.0170245613,0.07565209,0.0368215101,0.2926080384,NAPA,466385,38.80918467,-122.3174798,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.8091846712,-122.317479803,9,stateAssembly,38.8091846712,-122.317479803,current"
5,05,0.3309812124,0.4334874813,0.2355313063,0.669549011,0.0178987537,0.016121404,0.0381493103,0.258281521,FTHLL,463049,37.99120425,-119.8067914,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.9912042533,-119.80679136,9,stateAssembly,37.9912042533,-119.80679136,current"
6,06,0.2891932337,0.4896251255,0.2211816408,0.7447429197,0.0211562698,0.0744126635,0.0399561563,0.1197319907,NSAC,468939,38.80135748,-121.21997,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.8013574778,-121.219970049,9,stateAssembly,38.8013574778,-121.219970049,current"
7,07,0.480265609,0.2701930287,0.2495413623,0.4330791928,0.101277164,0.1438672439,0.0525058689,0.2692705305,WSAC,464310,38.62995541,-121.4886886,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.6299554094,-121.488688596,9,stateAssembly,38.6299554094,-121.488688596,current"
8,08,0.4063444362,0.3825412903,0.2111142735,0.6119114308,0.0742777178,0.0852809456,0.051702018,0.1768278878,ESAC,463773,38.48247879,-121.2055859,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.4824787923,-121.20558591,9,stateAssembly,38.4824787923,-121.20558591,current"
9,09,0.4619608028,0.3299497653,0.2080894319,0.3441043132,0.119185848,0.2222824602,0.0511384981,0.2632888805,SACEG,468512,38.32632132,-121.3922726,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.326321322,-121.39227258,9,stateAssembly,38.326321322,-121.39227258,current"
10,10,0.5409742698,0.1999139872,0.2591117431,0.6867140373,0.0211386128,0.0494515166,0.035143722,0.2075521113,MARIN,465830,38.15196511,-122.6879877,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.151965105,-122.687987739,9,stateAssembly,38.151965105,-122.687987739,current"
