"District","ID","Democrat","Republican","Other party","White","Black","Asian","Other","Latino","Name code","Population","Lat","Lng","Link"
1,01,0.301605228,0.4574852987,0.2409094734,0.7940686555,0.0150726584,0.0386748719,0.044874783,0.1073090312,MTCAP,935336,40.64276992,-121.2754024,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#40.6427699167,-121.275402417,9,stateSenate,40.6427699167,-121.275402417,current"
2,02,0.4979275183,0.2331679813,0.2689045004,0.6993827021,0.0170115195,0.0362577674,0.0520107707,0.1953372403,NORCO,928077,40.02825154,-123.3626362,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#40.0282515386,-123.36263617,9,stateSenate,40.0282515386,-123.36263617,current"
3,03,0.4923462204,0.2558067047,0.2518470749,0.5151842287,0.0737712071,0.1152702046,0.0459755626,0.249798797,WINE,928167,38.45553084,-122.0439738,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.4555308391,-122.043973772,9,stateSenate,38.4555308391,-122.043973772,current"
4,04,0.3471810868,0.4190948394,0.2337240738,0.6591940825,0.0312006243,0.0637072717,0.0485648672,0.1973331542,YUBA,937962,39.65013632,-122.0057549,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#39.6501363194,-122.005754885,9,stateSenate,39.6501363194,-122.005754885,current"
5,05,0.4279606702,0.3838310959,0.1882082339,0.4018003265,0.0603739713,0.1208256714,0.0392753973,0.3777246335,SNJOA,939163,37.93092451,-121.2590017,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.9309245063,-121.259001745,9,stateSenate,37.9309245063,-121.259001745,current"
6,06,0.4880245162,0.284124624,0.2278508598,0.3865925594,0.1213359806,0.1896516184,0.0546587048,0.2477611366,SAC,936301,38.55370806,-121.4461099,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#38.5537080627,-121.446109917,9,stateSenate,38.5537080627,-121.446109917,current"
7,07,0.443514063,0.3112003351,0.2452856019,0.5465152243,0.0565194634,0.1444034225,0.0430633238,0.209498566,RAMON,924708,37.7960276,-121.8054214,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.796027597,-121.805421379,9,stateSenate,37.796027597,-121.805421379,current"
8,08,0.3510491289,0.445731423,0.2032194481,0.5599992256,0.0369135818,0.0819845285,0.0389496963,0.2821529678,FTHLL,929712,37.14707871,-118.6863571,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.1470787146,-118.686357076,9,stateSenate,37.1470787146,-118.686357076,current"
9,09,0.6422537416,0.0973934615,0.2603527969,0.3181848627,0.1907663292,0.2058173444,0.0458185777,0.239412886,RCHMD,940601,37.86749843,-122.2402068,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.8674984328,-122.240206845,9,stateSenate,37.8674984328,-122.240206845,current"
10,10,0.5065257924,0.1890307063,0.3044435012,0.2541401115,0.0561119489,0.403957099,0.0425199766,0.243270864,FREOAK,923707,37.55605376,-121.9988297,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.556053756,-121.998829697,9,stateSenate,37.556053756,-121.998829697,current"
11,11,0.5622283844,0.0985026627,0.3392689528,0.3830196605,0.0544597267,0.3623590406,0.0374237393,0.1627378329,SF,930853,37.73974226,-122.4455614,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.739742261,-122.445561443,9,stateSenate,37.739742261,-122.445561443,current"
12,12,0.4949766877,0.3208628728,0.1841604394,0.2567588419,0.0276300816,0.0491426477,0.0216700849,0.6447983438,MRCED,933222,36.80043127,-120.6738019,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#36.8004312703,-120.673801936,9,stateSenate,36.8004312703,-120.673801936,current"
13,13,0.4982223889,0.2182546732,0.2835229379,0.4757169966,0.0225913227,0.2433464873,0.0398854962,0.2184596972,SNMAT,927480,37.40538084,-122.2813791,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.4053808416,-122.281379059,9,stateSenate,37.4053808416,-122.281379059,current"
14,14,0.4796644145,0.3392346256,0.1811009598,0.1787452319,0.0453176049,0.0452160415,0.019167693,0.7115534288,KINGS,935376,35.90788678,-119.5255711,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#35.9078867823,-119.525571112,9,stateSenate,35.9078867823,-119.525571112,current"
15,15,0.4548980721,0.246432461,0.2986694669,0.3427810516,0.0248905861,0.2995140989,0.032400946,0.3004133175,SJOSE,928584,37.32081637,-121.752813,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#37.320816373,-121.752813043,9,stateSenate,37.320816373,-121.752813043,current"
16,16,0.3055589608,0.4789374483,0.2155035909,0.5204403317,0.0463473962,0.0405531583,0.0354453798,0.357213734,TULKE,922123,35.07242104,-116.840831,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#35.0724210352,-116.840831047,9,stateSenate,35.0724210352,-116.840831047,current"
17,17,0.4507348016,0.2917331723,0.2575320261,0.5649466737,0.0197145836,0.0720359138,0.0338071662,0.3094956627,WMONT,931341,35.93417759,-120.9149545,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#35.9341775875,-120.91495452,9,stateSenate,35.9341775875,-120.91495452,current"
18,18,0.5432602895,0.1919490041,0.2647907064,0.2905294894,0.0393873321,0.0830493418,0.021750249,0.5652835877,LASFE,928725,34.23182785,-118.4395547,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.2318278451,-118.439554685,9,stateSenate,34.2318278451,-118.439554685,current"
19,19,0.4413212188,0.3179102177,0.2407685635,0.4219131184,0.0176454756,0.0520148571,0.0256316951,0.4827948539,SBWVE,928850,34.60996984,-119.6953258,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.609969844,-119.695325838,9,stateSenate,34.609969844,-119.695325838,current"
20,20,0.4882779694,0.2930926017,0.2186294289,0.1574382836,0.0813379134,0.059069273,0.0180749732,0.6840795568,POMSB,935935,34.07268334,-117.5157847,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.07268334,-117.515784739,9,stateSenate,34.07268334,-117.515784739,current"
21,21,0.3639644903,0.4057303242,0.2303051855,0.3998948706,0.1107492137,0.0495828147,0.0324772488,0.4072958522,LAAVV,930282,34.60301157,-118.0746635,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.6030115745,-118.074663472,9,stateSenate,34.6030115745,-118.074663472,current"
22,22,0.4686526145,0.2485550204,0.2827923651,0.1216143799,0.0145249425,0.3155919845,0.013868533,0.5344001601,LACVN,929298,34.08182505,-118.000791,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0818250482,-118.000791049,9,stateSenate,34.0818250482,-118.000791049,current"
23,23,0.3425994692,0.4391192874,0.2182812433,0.4550769056,0.0722376251,0.0603111778,0.0328183447,0.3795559468,SBBAN,933807,34.11654947,-117.1288623,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.1165494688,-117.128862322,9,stateSenate,34.1165494688,-117.128862322,current"
24,24,0.5972258464,0.1324639476,0.270310206,0.1197930392,0.0296825958,0.1683720581,0.0149403863,0.6672119206,LAELA,933510,34.07554572,-118.2285824,"http://www.latimes.com/news/la-redistricting-map-july-2011,0,3633335.htmlstory?#34.0755457186,-118.228582395,9,stateSenate,34.0755457186,-118.228582395,current"
