name,year,population,enslaved_pop,free_pop,apportioned_pop
Alabama,1790,NA,NA,NA,NA
Alaska,1790,NA,NA,NA,NA
Arizona,1790,NA,NA,NA,NA
Arkansas,1790,NA,NA,NA,NA
California,1790,NA,NA,NA,NA
Colorado,1790,NA,NA,NA,NA
Connecticut,1790,237946,2764,235182,239604
Delaware,1790,59096,8887,50209,64428
District of Columbia,1790,NA,NA,NA,NA
Florida,1790,NA,NA,NA,NA
Georgia,1790,82548,29264,53284,100106
Hawaii,1790,NA,NA,NA,NA
Idaho,1790,NA,NA,NA,NA
Illinois,1790,NA,NA,NA,NA
Indiana,1790,NA,NA,NA,NA
Iowa,1790,NA,NA,NA,NA
Kansas,1790,NA,NA,NA,NA
Kentucky,1790,73677,12430,61247,81135
Louisiana,1790,NA,NA,NA,NA
Maine,1790,96540,0,96540,96540
Maryland,1790,319728,103036,216692,381550
Massachusetts,1790,378787,0,378787,378787
Michigan,1790,NA,NA,NA,NA
Minnesota,1790,NA,NA,NA,NA
Mississippi,1790,NA,NA,NA,NA
Missouri,1790,NA,NA,NA,NA
Montana,1790,NA,NA,NA,NA
Nebraska,1790,NA,NA,NA,NA
Nevada,1790,NA,NA,NA,NA
New Hampshire,1790,141885,158,141727,141980
New Jersey,1790,184139,11423,172716,190993
New Mexico,1790,NA,NA,NA,NA
New York,1790,340120,21324,318796,352914
North Carolina,1790,393751,100572,293179,454094
North Dakota,1790,NA,NA,NA,NA
Ohio,1790,NA,NA,NA,NA
Oklahoma,1790,NA,NA,NA,NA
Oregon,1790,NA,NA,NA,NA
Pennsylvania,1790,434373,3737,430636,436615
Rhode Island,1790,68825,948,67877,69394
South Carolina,1790,249073,107094,141979,313329
South Dakota,1790,NA,NA,NA,NA
Tennessee,1790,35691,3417,32274,37741
Texas,1790,NA,NA,NA,NA
Utah,1790,NA,NA,NA,NA
Vermont,1790,85425,0,85425,85425
Virginia,1790,691937,287959,403978,864712
Washington,1790,NA,NA,NA,NA
West Virginia,1790,55873,4668,51205,58674
Wisconsin,1790,NA,NA,NA,NA
Wyoming,1790,NA,NA,NA,NA
United States,1790,3929214,697681,3231533,4347823
Alabama,1800,1250,494,756,1546
Alaska,1800,NA,NA,NA,NA
Arizona,1800,NA,NA,NA,NA
Arkansas,1800,NA,NA,NA,NA
California,1800,NA,NA,NA,NA
Colorado,1800,NA,NA,NA,NA
Connecticut,1800,251002,951,250051,251573
Delaware,1800,64273,6153,58120,67965
District of Columbia,1800,8144,2072,6072,9387
Florida,1800,NA,NA,NA,NA
Georgia,1800,162686,59699,102987,198505
Hawaii,1800,NA,NA,NA,NA
Idaho,1800,NA,NA,NA,NA
Illinois,1800,2458,107,2351,2522
Indiana,1800,2632,28,2604,2649
Iowa,1800,NA,NA,NA,NA
Kansas,1800,NA,NA,NA,NA
Kentucky,1800,220959,40343,180616,245165
Louisiana,1800,NA,NA,NA,NA
Maine,1800,151719,0,151719,151719
Maryland,1800,341548,105635,235913,404929
Massachusetts,1800,422845,0,422845,422845
Michigan,1800,3757,0,3757,3757
Minnesota,1800,NA,NA,NA,NA
Mississippi,1800,7600,2995,4605,9397
Missouri,1800,NA,NA,NA,NA
Montana,1800,NA,NA,NA,NA
Nebraska,1800,NA,NA,NA,NA
Nevada,1800,NA,NA,NA,NA
New Hampshire,1800,183858,8,183850,183863
New Jersey,1800,211149,12422,198727,218602
New Mexico,1800,NA,NA,NA,NA
New York,1800,586050,20613,565437,598418
North Carolina,1800,478103,133296,344807,558081
North Dakota,1800,NA,NA,NA,NA
Ohio,1800,42159,0,42159,42159
Oklahoma,1800,NA,NA,NA,NA
Oregon,1800,NA,NA,NA,NA
Pennsylvania,1800,602545,1706,600839,603569
Rhode Island,1800,69122,380,68742,69350
South Carolina,1800,345591,146151,199440,433282
South Dakota,1800,NA,NA,NA,NA
Tennessee,1800,105602,13584,92018,113752
Texas,1800,NA,NA,NA,NA
Utah,1800,NA,NA,NA,NA
Vermont,1800,154465,0,154465,154465
Virginia,1800,807557,339499,468058,1011256
Washington,1800,NA,NA,NA,NA
West Virginia,1800,78592,7172,71420,82895
Wisconsin,1800,NA,NA,NA,NA
Wyoming,1800,NA,NA,NA,NA
United States,1800,5308483,893602,4414881,5844644
Alabama,1810,9046,2565,6481,10585
Alaska,1810,NA,NA,NA,NA
Arizona,1810,NA,NA,NA,NA
Arkansas,1810,1062,136,926,1144
California,1810,NA,NA,NA,NA
Colorado,1810,NA,NA,NA,NA
