name,year,population
Alabama,1790,NA
Alaska,1790,NA
Arizona,1790,NA
Arkansas,1790,NA
California,1790,NA
Colorado,1790,NA
Connecticut,1790,237946
Delaware,1790,59096
District of Columbia,1790,NA
Florida,1790,NA
Georgia,1790,82548
Hawaii,1790,NA
Idaho,1790,NA
Illinois,1790,NA
Indiana,1790,NA
Iowa,1790,NA
Kansas,1790,NA
Kentucky,1790,73677
Louisiana,1790,NA
Maine,1790,96540
Maryland,1790,319728
Massachusetts,1790,378787
Michigan,1790,NA
Minnesota,1790,NA
Mississippi,1790,NA
Missouri,1790,NA
Montana,1790,NA
Nebraska,1790,NA
Nevada,1790,NA
New Hampshire,1790,141885
New Jersey,1790,184139
New Mexico,1790,NA
New York,1790,340120
North Carolina,1790,393751
North Dakota,1790,NA
Ohio,1790,NA
Oklahoma,1790,NA
Oregon,1790,NA
Pennsylvania,1790,434373
Rhode Island,1790,68825
South Carolina,1790,249073
South Dakota,1790,NA
Tennessee,1790,35691
Texas,1790,NA
Utah,1790,NA
Vermont,1790,85425
Virginia,1790,691937
Washington,1790,NA
West Virginia,1790,55873
Wisconsin,1790,NA
Wyoming,1790,NA
United States,1790,3929214
Alabama,1800,1250
Alaska,1800,NA
Arizona,1800,NA
Arkansas,1800,NA
California,1800,NA
Colorado,1800,NA
Connecticut,1800,251002
Delaware,1800,64273
District of Columbia,1800,8144
Florida,1800,NA
Georgia,1800,162686
Hawaii,1800,NA
Idaho,1800,NA
Illinois,1800,2458
Indiana,1800,2632
Iowa,1800,NA
Kansas,1800,NA
Kentucky,1800,220959
Louisiana,1800,NA
Maine,1800,151719
Maryland,1800,341548
Massachusetts,1800,422845
Michigan,1800,3757
Minnesota,1800,NA
Mississippi,1800,7600
Missouri,1800,NA
Montana,1800,NA
Nebraska,1800,NA
Nevada,1800,NA
New Hampshire,1800,183858
New Jersey,1800,211149
New Mexico,1800,NA
New York,1800,586050
North Carolina,1800,478103
North Dakota,1800,NA
Ohio,1800,42159
Oklahoma,1800,NA
Oregon,1800,NA
Pennsylvania,1800,602545
Rhode Island,1800,69122
South Carolina,1800,345591
South Dakota,1800,NA
Tennessee,1800,105602
Texas,1800,NA
Utah,1800,NA
Vermont,1800,154465
Virginia,1800,807557
Washington,1800,NA
West Virginia,1800,78592
Wisconsin,1800,NA
Wyoming,1800,NA
United States,1800,5308483
Alabama,1810,9046
Alaska,1810,NA
Arizona,1810,NA
Arkansas,1810,1062
California,1810,NA
Colorado,1810,NA
Connecticut,1810,262042
Delaware,1810,72674
District of Columbia,1810,15471
Florida,1810,NA
Georgia,1810,251407
Hawaii,1810,NA
Idaho,1810,NA
Illinois,1810,12282
Indiana,1810,24520
Iowa,1810,NA
Kansas,1810,NA
Kentucky,1810,406511
Louisiana,1810,76556
Maine,1810,228705
Maryland,1810,380546
Massachusetts,1810,472040
Michigan,1810,4762
Minnesota,1810,NA
Mississippi,1810,31306
Missouri,1810,19783
Montana,1810,NA
Nebraska,1810,NA
Nevada,1810,NA
New Hampshire,1810,214360
New Jersey,1810,245555
New Mexico,1810,NA
New York,1810,959049
North Carolina,1810,556526
North Dakota,1810,NA
Ohio,1810,230760
Oklahoma,1810,NA
Oregon,1810,NA
Pennsylvania,1810,810091
Rhode Island,1810,76931
South Carolina,1810,415115
South Dakota,1810,NA
Tennessee,1810,261727
Texas,1810,NA
Utah,1810,NA
Vermont,1810,217713
Virginia,1810,877683
Washington,1810,NA
West Virginia,1810,105469
Wisconsin,1810,NA
Wyoming,1810,NA
United States,1810,7239881
Alabama,1820,127901
Alaska,1820,NA
Arizona,1820,NA
