category,value
state,New Hampshire
counties,"Belknap, Carroll, Grafton, Hillsborough, Merrimack, Rockingham, Strafford"
metro areas,"Boston Area, Claremont Area, Concord Area, Laconia Area, Manchester Area"
cities,"Dover, Laconia, Manchester, Portsmouth, Rochester, Somersworth"
location,Hale's
towns,"Albany, Alton, Auburn, Barnstead, Barrington, Bartlett, Bedford, Belmont, Brentwood, Brookfield, Campton, Candia, Chatham, Chester, Conway, Danville, Derry, Durham, East Kingston, Eaton, Effingham, Epping, Exeter, Farmington, Freedom, Fremont, Gilford, Gilmanton, Goffstown, Greenland, Hampstead, Hampton, Hampton Falls, Hart's Location, Hooksett, Jackson, Kensington, Kingston, Lee, Londonderry, Madbury, Madison, Meredith, Merrimack, Middleton, Milton, Moultonborough, New Castle, New Durham, New Hampton, Newfields, Newington, Newmarket, Newton, North Hampton, Nottingham, Ossipee, Plaistow, Raymond, Rollinsford, Rye, Sanbornton, Sandown, Sandwich, Seabrook, South Hampton, Strafford, Stratham, Tamworth, Tilton, Tuftonboro, Wakefield, Wolfeboro"
unincorporated places,"Alton, Bartlett, Belmont, Center Ossipee, Center Sandwich, Conway, Derry, Durham, East Merrimack, Epping, Exeter, Farmington, Goffstown, Hampton, Hampton Beach, Hooksett, Londonderry, Melvin Village, Meredith, Milton, Milton Mills, New Hampton, Newfields, Newmarket, North Conway, Pinardville, Raymond, Sanbornville, Seabrook Beach, South Hooksett, Suissevale, Tilton Northfield, Union, Wolfeboro"
unified school districts,"Albany, Bedford, Chatham, Conway, Coos County, Dover, Eaton, Epping, Farmington, Gilford, Goffstown, Governor Wentworth, Hart's Location, Inter-Lakes, Laconia, Londonderry, Manchester, Merrimack, Middleton, Milton, Moultonborough, Newfound, Newmarket, Oyster River Cooperative, Portsmouth, Raymond, Rochester, Sanborn, Shaker, Somersworth, Timberlane, Winnisquam"
elementary school districts,"Alton, Auburn, Barnstead, Barrington, Bartlett, Brentwood, Campton, Candia, Chester, Derry, East Kingston, Exeter, Freedom, Fremont, Gilmanton, Greenland, Hampstead, Hampton Falls, Hampton, Hooksett, Jackson, Kensington, Madison, New Castle, Newfields, Newington, North Hampton, Nottingham, Rollinsford, Rye, Seabrook, South Hampton, Strafford, Stratham, Tamworth, Wakefield"
secondary school districts,"Exeter, Pemi-Baker, Prospect Mountain High School, Winnacunnet Cooperative"
zip codes,"01952, 03031, 03032, 03034, 03036, 03038, 03042, 03044, 03045, 03052, 03053, 03054, 03063, 03070, 03077, 03087, 03101, 03102, 03103, 03104, 03106, 03109, 03110, 03215, 03218, 03220, 03222, 03223, 03225, 03226, 03227, 03235, 03237, 03243, 03246, 03249, 03253, 03254, 03256, 03259, 03261, 03263, 03269, 03275, 03276, 03290, 03291, 03307, 03801, 03809, 03810, 03811, 03812, 03813, 03814, 03816, 03817, 03818, 03819, 03820, 03823, 03824, 03825, 03826, 03827, 03830, 03832, 03833, 03835, 03836, 03837, 03838, 03839, 03840, 03841, 03842, 03844, 03845, 03846, 03847, 03848, 03849, 03850, 03851, 03852, 03853, 03854, 03855, 03856, 03857, 03858, 03860, 03861, 03862, 03864, 03865, 03867, 03868, 03869, 03870, 03871, 03872, 03873, 03874, 03875, 03878, 03882, 03883, 03884, 03885, 03886, 03887, 03890, 03894"
state house districts,"NH-Belknap County No. 1, NH-Belknap County No. 2, NH-Belknap County No. 3, NH-Belknap County No. 4, NH-Belknap County No. 5, NH-Belknap County No. 6, NH-Belknap County No. 7, NH-Carroll County No. 1, NH-Carroll County No. 2, NH-Carroll County No. 3, NH-Carroll County No. 4, NH-Carroll County No. 5, NH-Carroll County No. 6, NH-Grafton County No. 7, NH-Hillsborough County No. 6, NH-Hillsborough County No. 7, NH-Hillsborough County No. 8, NH-Hillsborough County No. 9, NH-Hillsborough County No. 10, NH-Hillsborough County No. 11, NH-Hillsborough County No. 12, NH-Hillsborough County No. 13, NH-Hillsborough County No. 14, NH-Hillsborough County No. 15, NH-Hillsborough County No. 16, NH-Hillsborough County No. 17, NH-Hillsborough County No. 18, NH-Hillsborough County No. 19, NH-Hillsborough County No. 21, NH-Merrimack County No. 24, NH-Rockingham County No. 2, NH-Rockingham County No. 3, NH-Rockingham County No. 4, NH-Rockingham County No. 5, NH-Rockingham County No. 6, NH-Rockingham County No. 9, NH-Rockingham County No. 10, NH-Rockingham County No. 11, NH-Rockingham County No. 12, NH-Rockingham County No. 13, NH-Rockingham County No. 14, NH-Rockingham County No. 15, NH-Rockingham County No. 16, NH-Rockingham County No. 17, NH-Rockingham County No. 18, NH-Rockingham County No. 19, NH-Rockingham County No. 20, NH-Rockingham County No. 21, NH-Rockingham County No. 22, NH-Rockingham County No. 23, NH-Rockingham County No. 24, NH-Rockingham County No. 25, NH-Rockingham County No. 26, NH-Rockingham County No. 27, NH-Rockingham County No. 28, NH-Rockingham County No. 29, NH-Strafford County No. 1, NH-Strafford County No. 2, NH-Strafford County No. 3, NH-Strafford County No. 4, NH-Strafford County No. 5, NH-Strafford County No. 6, NH-Strafford County No. 7, NH-Strafford County No. 8, NH-Strafford County No. 9, NH-Strafford County No. 10, NH-Strafford County No. 11, NH-Strafford County No. 12, NH-Strafford County No. 13, NH-Strafford County No. 14, NH-Strafford County No. 15, NH-Strafford County No. 16, NH-Strafford County No. 17, NH-Strafford County No. 18"
state senate districts,"NH-2, NH-3, NH-4, NH-6, NH-7, NH-9, NH-11, NH-14, NH-16, NH-17, NH-18, NH-19, NH-20, NH-21, NH-22, NH-23, NH-24"
neighboring congressional districts,"MA-3, MA-6, ME-1, ME-2, NH-2"
