county_id,district_num,rep_name,party,municipality,county_name,district
1,01,harry viens,rep,center harbor,belknap,belknap-01
1,01,harry viens,rep,new hampton,belknap,belknap-01
1,02,glen aldrich,rep,gilford,belknap,belknap-02
1,02,glen aldrich,rep,meredith,belknap,belknap-02
1,02,harry bean,rep,gilford,belknap,belknap-02
1,02,harry bean,rep,meredith,belknap,belknap-02
1,02,deanna jurius,rep,gilford,belknap,belknap-02
1,02,deanna jurius,rep,meredith,belknap,belknap-02
1,02,jonathan mackie,rep,gilford,belknap,belknap-02
1,02,jonathan mackie,rep,meredith,belknap,belknap-02
1,03,david huot,dem,laconia,belknap,belknap-03
1,03,richard beaudoin,rep,laconia,belknap,belknap-03
1,03,peter spanos,rep,laconia,belknap,belknap-03
1,03,frank tilton,rep,laconia,belknap,belknap-03
1,04,dennis fields,rep,sanbornton,belknap,belknap-04
1,04,dennis fields,rep,tilton,belknap,belknap-04
1,04,timothy lang sr.,rep,sanbornton,belknap,belknap-04
1,04,timothy lang sr.,rep,tilton,belknap,belknap-04
1,05,george feeney,rep,gilmanton,belknap,belknap-05
1,05,george feeney,rep,alton,belknap,belknap-05
1,05,peter varney,rep,gilmanton,belknap,belknap-05
1,05,peter varney,rep,alton,belknap,belknap-05
1,06,john plumer,rep,belmont,belknap,belknap-06
1,06,mike sylvia,rep,belmont,belknap,belknap-06
1,07,barbara comtois,rep,barnstead,belknap,belknap-07
1,08,raymond howard jr.,rep,alton,belknap,belknap-08
1,08,raymond howard jr.,rep,barnstead,belknap,belknap-08
1,08,raymond howard jr.,rep,gilmanton,belknap,belknap-08
1,09,charlie st. clair,dem,belmont,belknap,belknap-09
1,09,charlie st. clair,dem,laconia,belknap,belknap-09
2,01,anita burroughs,dem,bartlett,carroll,carroll-01
2,01,anita burroughs,dem,harts location,carroll,carroll-01
2,01,anita burroughs,dem,jackson,carroll,carroll-01
2,02,tom buco,dem,chatham,carroll,carroll-02
2,02,tom buco,dem,conway,carroll,carroll-02
2,02,tom buco,dem,eaton,carroll,carroll-02
2,02,tom buco,dem,hales location,carroll,carroll-02
2,02,harrison kanzler,dem,chatham,carroll,carroll-02
2,02,harrison kanzler,dem,conway,carroll,carroll-02
2,02,harrison kanzler,dem,eaton,carroll,carroll-02
2,02,harrison kanzler,dem,hales location,carroll,carroll-02
2,02,stephen woodcock,dem,chatham,carroll,carroll-02
2,02,stephen woodcock,dem,conway,carroll,carroll-02
2,02,stephen woodcock,dem,eaton,carroll,carroll-02
2,02,stephen woodcock,dem,hales location,carroll,carroll-02
2,03,jerry knirk,dem,albany,carroll,carroll-03
2,03,jerry knirk,dem,freedom,carroll,carroll-03
2,03,jerry knirk,dem,madison,carroll,carroll-03
2,03,jerry knirk,dem,tamworth,carroll,carroll-03
2,03,susan ticehurst,dem,albany,carroll,carroll-03
2,03,susan ticehurst,dem,freedom,carroll,carroll-03
2,03,susan ticehurst,dem,madison,carroll,carroll-03
2,03,susan ticehurst,dem,tamworth,carroll,carroll-03
2,04,glenn cordelli,rep,moultonborough,carroll,carroll-04
2,04,glenn cordelli,rep,sandwich,carroll,carroll-04
2,04,glenn cordelli,rep,tuftonboro,carroll,carroll-04
2,04,karel crawford,rep,moultonborough,carroll,carroll-04
2,04,karel crawford,rep,sandwich,carroll,carroll-04
2,04,karel crawford,rep,tuftonboro,carroll,carroll-04
2,05,lino avellani,rep,brookfield,carroll,carroll-05
2,05,lino avellani,rep,effingham,carroll,carroll-05
2,05,lino avellani,rep,ossipee,carroll,carroll-05
