state,year,n_reps,state_name,total_reps
AL,1790,NA,Alabama,170
AK,1790,NA,Alaska,170
AZ,1790,NA,Arizona,170
AR,1790,NA,Arkansas,170
CA,1790,NA,California,170
CO,1790,NA,Colorado,170
CT,1790,5,Connecticut,170
DE,1790,1,Delaware,170
FL,1790,NA,Florida,170
GA,1790,3,Georgia,170
HI,1790,NA,Hawaii,170
ID,1790,NA,Idaho,170
IL,1790,NA,Illinois,170
IN,1790,NA,Indiana,170
IA,1790,NA,Iowa,170
KS,1790,NA,Kansas,170
KY,1790,NA,Kentucky,170
LA,1790,NA,Louisiana,170
ME,1790,NA,Maine,170
MD,1790,6,Maryland,170
MA,1790,8,Massachusetts,170
MI,1790,NA,Michigan,170
MN,1790,NA,Minnesota,170
MS,1790,NA,Mississippi,170
MO,1790,NA,Missouri,170
MT,1790,NA,Montana,170
NE,1790,NA,Nebraska,170
NV,1790,NA,Nevada,170
NH,1790,3,New Hampshire,170
NJ,1790,4,New Jersey,170
NM,1790,NA,New Mexico,170
NY,1790,6,New York,170
NC,1790,5,North Carolina,170
ND,1790,NA,North Dakota,170
OH,1790,NA,Ohio,170
OK,1790,NA,Oklahoma,170
OR,1790,NA,Oregon,170
PA,1790,8,Pennsylvania,170
RI,1790,1,Rhode Island,170
SC,1790,5,South Carolina,170
SD,1790,NA,South Dakota,170
TN,1790,NA,Tennessee,170
TX,1790,NA,Texas,170
UT,1790,NA,Utah,170
VT,1790,NA,Vermont,170
VA,1790,10,Virginia,170
WA,1790,NA,Washington,170
WV,1790,NA,West Virginia,170
WI,1790,NA,Wisconsin,170
WY,1790,NA,Wyoming,170
AL,1790,NA,Alabama,170
AK,1790,NA,Alaska,170
AZ,1790,NA,Arizona,170
AR,1790,NA,Arkansas,170
CA,1790,NA,California,170
CO,1790,NA,Colorado,170
CT,1790,7,Connecticut,170
DE,1790,1,Delaware,170
FL,1790,NA,Florida,170
GA,1790,2,Georgia,170
HI,1790,NA,Hawaii,170
ID,1790,NA,Idaho,170
IL,1790,NA,Illinois,170
IN,1790,NA,Indiana,170
IA,1790,NA,Iowa,170
KS,1790,NA,Kansas,170
KY,1790,2,Kentucky,170
LA,1790,NA,Louisiana,170
ME,1790,NA,Maine,170
MD,1790,8,Maryland,170
MA,1790,14,Massachusetts,170
MI,1790,NA,Michigan,170
MN,1790,NA,Minnesota,170
MS,1790,NA,Mississippi,170
MO,1790,NA,Missouri,170
MT,1790,NA,Montana,170
NE,1790,NA,Nebraska,170
NV,1790,NA,Nevada,170
NH,1790,4,New Hampshire,170
NJ,1790,5,New Jersey,170
NM,1790,NA,New Mexico,170
NY,1790,10,New York,170
NC,1790,10,North Carolina,170
ND,1790,NA,North Dakota,170
OH,1790,NA,Ohio,170
OK,1790,NA,Oklahoma,170
OR,1790,NA,Oregon,170
PA,1790,13,Pennsylvania,170
RI,1790,2,Rhode Island,170
SC,1790,6,South Carolina,170
SD,1790,NA,South Dakota,170
TN,1790,NA,Tennessee,170
TX,1790,NA,Texas,170
UT,1790,NA,Utah,170
VT,1790,2,Vermont,170
VA,1790,19,Virginia,170
WA,1790,NA,Washington,170
WV,1790,NA,West Virginia,170
WI,1790,NA,Wisconsin,170
WY,1790,NA,Wyoming,170
AL,1800,NA,Alabama,142
AK,1800,NA,Alaska,142
AZ,1800,NA,Arizona,142
AR,1800,NA,Arkansas,142
CA,1800,NA,California,142
CO,1800,NA,Colorado,142
CT,1800,7,Connecticut,142
DE,1800,1,Delaware,142
FL,1800,NA,Florida,142
GA,1800,4,Georgia,142
HI,1800,NA,Hawaii,142
ID,1800,NA,Idaho,142
IL,1800,NA,Illinois,142
IN,1800,NA,Indiana,142
IA,1800,NA,Iowa,142
KS,1800,NA,Kansas,142
KY,1800,6,Kentucky,142
LA,1800,NA,Louisiana,142
ME,1800,NA,Maine,142
MD,1800,9,Maryland,142
MA,1800,17,Massachusetts,142
MI,1800,NA,Michigan,142
MN,1800,NA,Minnesota,142
MS,1800,NA,Mississippi,142
MO,1800,NA,Missouri,142
MT,1800,NA,Montana,142
NE,1800,NA,Nebraska,142
NV,1800,NA,Nevada,142
NH,1800,5,New Hampshire,142
NJ,1800,6,New Jersey,142
NM,1800,NA,New Mexico,142
NY,1800,17,New York,142
NC,1800,12,North Carolina,142
ND,1800,NA,North Dakota,142
OH,1800,1,Ohio,142
OK,1800,NA,Oklahoma,142
OR,1800,NA,Oregon,142
PA,1800,18,Pennsylvania,142
RI,1800,2,Rhode Island,142
SC,1800,8,South Carolina,142
SD,1800,NA,South Dakota,142
TN,1800,3,Tennessee,142
TX,1800,NA,Texas,142
UT,1800,NA,Utah,142
VT,1800,4,Vermont,142
VA,1800,22,Virginia,142
WA,1800,NA,Washington,142
WV,1800,NA,West Virginia,142
WI,1800,NA,Wisconsin,142
WY,1800,NA,Wyoming,142
AL,1810,NA,Alabama,182
AK,1810,NA,Alaska,182
AZ,1810,NA,Arizona,182
AR,1810,NA,Arkansas,182
CA,1810,NA,California,182
CO,1810,NA,Colorado,182
CT,1810,7,Connecticut,182
DE,1810,2,Delaware,182
FL,1810,NA,Florida,182
GA,1810,6,Georgia,182
HI,1810,NA,Hawaii,182
ID,1810,NA,Idaho,182
IL,1810,NA,Illinois,182
IN,1810,NA,Indiana,182
IA,1810,NA,Iowa,182
KS,1810,NA,Kansas,182
KY,1810,10,Kentucky,182
LA,1810,1,Louisiana,182
ME,1810,NA,Maine,182
MD,1810,9,Maryland,182
MA,1810,20,Massachusetts,182
MI,1810,NA,Michigan,182
MN,1810,NA,Minnesota,182
MS,1810,NA,Mississippi,182
MO,1810,NA,Missouri,182
MT,1810,NA,Montana,182
NE,1810,NA,Nebraska,182
NV,1810,NA,Nevada,182
NH,1810,6,New Hampshire,182
NJ,1810,6,New Jersey,182
NM,1810,NA,New Mexico,182
NY,1810,27,New York,182
NC,1810,13,North Carolina,182
ND,1810,NA,North Dakota,182
OH,1810,6,Ohio,182
OK,1810,NA,Oklahoma,182
OR,1810,NA,Oregon,182
PA,1810,23,Pennsylvania,182
RI,1810,2,Rhode Island,182
SC,1810,9,South Carolina,182
SD,1810,NA,South Dakota,182
TN,1810,6,Tennessee,182
TX,1810,NA,Texas,182
UT,1810,NA,Utah,182
VT,1810,6,Vermont,182
VA,1810,23,Virginia,182
WA,1810,NA,Washington,182
WV,1810,NA,West Virginia,182
WI,1810,NA,Wisconsin,182
WY,1810,NA,Wyoming,182
AL,1820,3,Alabama,213
AK,1820,NA,Alaska,213
AZ,1820,NA,Arizona,213
AR,1820,NA,Arkansas,213
CA,1820,NA,California,213
CO,1820,NA,Colorado,213
CT,1820,6,Connecticut,213
DE,1820,1,Delaware,213
FL,1820,NA,Florida,213
GA,1820,7,Georgia,213
HI,1820,NA,Hawaii,213
ID,1820,NA,Idaho,213
IL,1820,1,Illinois,213
IN,1820,3,Indiana,213
IA,1820,NA,Iowa,213
KS,1820,NA,Kansas,213
