state,year,n_reps,state_name,total_reps,relative_rep_power
AL,1790,NA,Alabama,170,NA
AK,1790,NA,Alaska,170,NA
AZ,1790,NA,Arizona,170,NA
AR,1790,NA,Arkansas,170,NA
CA,1790,NA,California,170,NA
CO,1790,NA,Colorado,170,NA
CT,1790,5,Connecticut,170,0.029411764705882353
DE,1790,1,Delaware,170,0.0058823529411764705
FL,1790,NA,Florida,170,NA
GA,1790,3,Georgia,170,0.01764705882352941
HI,1790,NA,Hawaii,170,NA
ID,1790,NA,Idaho,170,NA
IL,1790,NA,Illinois,170,NA
IN,1790,NA,Indiana,170,NA
IA,1790,NA,Iowa,170,NA
KS,1790,NA,Kansas,170,NA
KY,1790,NA,Kentucky,170,NA
LA,1790,NA,Louisiana,170,NA
ME,1790,NA,Maine,170,NA
MD,1790,6,Maryland,170,0.03529411764705882
MA,1790,8,Massachusetts,170,0.047058823529411764
MI,1790,NA,Michigan,170,NA
MN,1790,NA,Minnesota,170,NA
MS,1790,NA,Mississippi,170,NA
MO,1790,NA,Missouri,170,NA
MT,1790,NA,Montana,170,NA
NE,1790,NA,Nebraska,170,NA
NV,1790,NA,Nevada,170,NA
NH,1790,3,New Hampshire,170,0.01764705882352941
NJ,1790,4,New Jersey,170,0.023529411764705882
NM,1790,NA,New Mexico,170,NA
NY,1790,6,New York,170,0.03529411764705882
NC,1790,5,North Carolina,170,0.029411764705882353
ND,1790,NA,North Dakota,170,NA
OH,1790,NA,Ohio,170,NA
OK,1790,NA,Oklahoma,170,NA
OR,1790,NA,Oregon,170,NA
PA,1790,8,Pennsylvania,170,0.047058823529411764
RI,1790,1,Rhode Island,170,0.0058823529411764705
SC,1790,5,South Carolina,170,0.029411764705882353
SD,1790,NA,South Dakota,170,NA
TN,1790,NA,Tennessee,170,NA
TX,1790,NA,Texas,170,NA
UT,1790,NA,Utah,170,NA
VT,1790,NA,Vermont,170,NA
VA,1790,10,Virginia,170,0.058823529411764705
WA,1790,NA,Washington,170,NA
WV,1790,NA,West Virginia,170,NA
WI,1790,NA,Wisconsin,170,NA
WY,1790,NA,Wyoming,170,NA
AL,1790,NA,Alabama,170,NA
AK,1790,NA,Alaska,170,NA
AZ,1790,NA,Arizona,170,NA
AR,1790,NA,Arkansas,170,NA
CA,1790,NA,California,170,NA
CO,1790,NA,Colorado,170,NA
CT,1790,7,Connecticut,170,0.041176470588235294
DE,1790,1,Delaware,170,0.0058823529411764705
FL,1790,NA,Florida,170,NA
GA,1790,2,Georgia,170,0.011764705882352941
HI,1790,NA,Hawaii,170,NA
ID,1790,NA,Idaho,170,NA
IL,1790,NA,Illinois,170,NA
IN,1790,NA,Indiana,170,NA
IA,1790,NA,Iowa,170,NA
KS,1790,NA,Kansas,170,NA
KY,1790,2,Kentucky,170,0.011764705882352941
LA,1790,NA,Louisiana,170,NA
ME,1790,NA,Maine,170,NA
MD,1790,8,Maryland,170,0.047058823529411764
MA,1790,14,Massachusetts,170,0.08235294117647059
MI,1790,NA,Michigan,170,NA
MN,1790,NA,Minnesota,170,NA
MS,1790,NA,Mississippi,170,NA
MO,1790,NA,Missouri,170,NA
MT,1790,NA,Montana,170,NA
NE,1790,NA,Nebraska,170,NA
NV,1790,NA,Nevada,170,NA
NH,1790,4,New Hampshire,170,0.023529411764705882
NJ,1790,5,New Jersey,170,0.029411764705882353
NM,1790,NA,New Mexico,170,NA
NY,1790,10,New York,170,0.058823529411764705
NC,1790,10,North Carolina,170,0.058823529411764705
ND,1790,NA,North Dakota,170,NA
OH,1790,NA,Ohio,170,NA
OK,1790,NA,Oklahoma,170,NA
OR,1790,NA,Oregon,170,NA
PA,1790,13,Pennsylvania,170,0.07647058823529412
RI,1790,2,Rhode Island,170,0.011764705882352941
SC,1790,6,South Carolina,170,0.03529411764705882
SD,1790,NA,South Dakota,170,NA
TN,1790,NA,Tennessee,170,NA
TX,1790,NA,Texas,170,NA
UT,1790,NA,Utah,170,NA
VT,1790,2,Vermont,170,0.011764705882352941
VA,1790,19,Virginia,170,0.11176470588235295
WA,1790,NA,Washington,170,NA
WV,1790,NA,West Virginia,170,NA
WI,1790,NA,Wisconsin,170,NA
WY,1790,NA,Wyoming,170,NA
AL,1800,NA,Alabama,142,NA
AK,1800,NA,Alaska,142,NA
AZ,1800,NA,Arizona,142,NA
AR,1800,NA,Arkansas,142,NA
CA,1800,NA,California,142,NA
CO,1800,NA,Colorado,142,NA
CT,1800,7,Connecticut,142,0.04929577464788732
DE,1800,1,Delaware,142,0.007042253521126761
FL,1800,NA,Florida,142,NA
GA,1800,4,Georgia,142,0.028169014084507043
HI,1800,NA,Hawaii,142,NA
ID,1800,NA,Idaho,142,NA
IL,1800,NA,Illinois,142,NA
IN,1800,NA,Indiana,142,NA
IA,1800,NA,Iowa,142,NA
KS,1800,NA,Kansas,142,NA
KY,1800,6,Kentucky,142,0.04225352112676056
LA,1800,NA,Louisiana,142,NA
ME,1800,NA,Maine,142,NA
MD,1800,9,Maryland,142,0.06338028169014084
MA,1800,17,Massachusetts,142,0.11971830985915492
MI,1800,NA,Michigan,142,NA
MN,1800,NA,Minnesota,142,NA
MS,1800,NA,Mississippi,142,NA
MO,1800,NA,Missouri,142,NA
MT,1800,NA,Montana,142,NA
NE,1800,NA,Nebraska,142,NA
NV,1800,NA,Nevada,142,NA
NH,1800,5,New Hampshire,142,0.035211267605633804
NJ,1800,6,New Jersey,142,0.04225352112676056
NM,1800,NA,New Mexico,142,NA
NY,1800,17,New York,142,0.11971830985915492
NC,1800,12,North Carolina,142,0.08450704225352113
ND,1800,NA,North Dakota,142,NA
OH,1800,1,Ohio,142,0.007042253521126761
OK,1800,NA,Oklahoma,142,NA
OR,1800,NA,Oregon,142,NA
PA,1800,18,Pennsylvania,142,0.1267605633802817
RI,1800,2,Rhode Island,142,0.014084507042253521
SC,1800,8,South Carolina,142,0.056338028169014086
SD,1800,NA,South Dakota,142,NA
TN,1800,3,Tennessee,142,0.02112676056338028
TX,1800,NA,Texas,142,NA
UT,1800,NA,Utah,142,NA
VT,1800,4,Vermont,142,0.028169014084507043
VA,1800,22,Virginia,142,0.15492957746478872
WA,1800,NA,Washington,142,NA
WV,1800,NA,West Virginia,142,NA
WI,1800,NA,Wisconsin,142,NA
WY,1800,NA,Wyoming,142,NA
AL,1810,NA,Alabama,182,NA
AK,1810,NA,Alaska,182,NA
AZ,1810,NA,Arizona,182,NA
AR,1810,NA,Arkansas,182,NA
CA,1810,NA,California,182,NA
CO,1810,NA,Colorado,182,NA
CT,1810,7,Connecticut,182,0.038461538461538464
DE,1810,2,Delaware,182,0.01098901098901099
FL,1810,NA,Florida,182,NA
GA,1810,6,Georgia,182,0.03296703296703297
HI,1810,NA,Hawaii,182,NA
ID,1810,NA,Idaho,182,NA
IL,1810,NA,Illinois,182,NA
IN,1810,NA,Indiana,182,NA
IA,1810,NA,Iowa,182,NA
KS,1810,NA,Kansas,182,NA
KY,1810,10,Kentucky,182,0.054945054945054944
LA,1810,1,Louisiana,182,0.005494505494505495
ME,1810,NA,Maine,182,NA
MD,1810,9,Maryland,182,0.04945054945054945
MA,1810,20,Massachusetts,182,0.10989010989010989
MI,1810,NA,Michigan,182,NA
MN,1810,NA,Minnesota,182,NA
MS,1810,NA,Mississippi,182,NA
MO,1810,NA,Missouri,182,NA
MT,1810,NA,Montana,182,NA
NE,1810,NA,Nebraska,182,NA
NV,1810,NA,Nevada,182,NA
NH,1810,6,New Hampshire,182,0.03296703296703297
NJ,1810,6,New Jersey,182,0.03296703296703297
NM,1810,NA,New Mexico,182,NA
NY,1810,27,New York,182,0.14835164835164835
NC,1810,13,North Carolina,182,0.07142857142857142
ND,1810,NA,North Dakota,182,NA
OH,1810,6,Ohio,182,0.03296703296703297
OK,1810,NA,Oklahoma,182,NA
OR,1810,NA,Oregon,182,NA
PA,1810,23,Pennsylvania,182,0.12637362637362637
RI,1810,2,Rhode Island,182,0.01098901098901099
SC,1810,9,South Carolina,182,0.04945054945054945
SD,1810,NA,South Dakota,182,NA
TN,1810,6,Tennessee,182,0.03296703296703297
TX,1810,NA,Texas,182,NA
UT,1810,NA,Utah,182,NA
VT,1810,6,Vermont,182,0.03296703296703297
VA,1810,23,Virginia,182,0.12637362637362637
WA,1810,NA,Washington,182,NA
WV,1810,NA,West Virginia,182,NA
WI,1810,NA,Wisconsin,182,NA
WY,1810,NA,Wyoming,182,NA
AL,1820,3,Alabama,213,0.014084507042253521
AK,1820,NA,Alaska,213,NA
AZ,1820,NA,Arizona,213,NA
AR,1820,NA,Arkansas,213,NA
CA,1820,NA,California,213,NA
CO,1820,NA,Colorado,213,NA
CT,1820,6,Connecticut,213,0.028169014084507043
DE,1820,1,Delaware,213,0.004694835680751174
FL,1820,NA,Florida,213,NA
GA,1820,7,Georgia,213,0.03286384976525822
HI,1820,NA,Hawaii,213,NA
ID,1820,NA,Idaho,213,NA
IL,1820,1,Illinois,213,0.004694835680751174
IN,1820,3,Indiana,213,0.014084507042253521
IA,1820,NA,Iowa,213,NA
KS,1820,NA,Kansas,213,NA
KY,1820,12,Kentucky,213,0.056338028169014086
LA,1820,3,Louisiana,213,0.014084507042253521
ME,1820,7,Maine,213,0.03286384976525822
MD,1820,9,Maryland,213,0.04225352112676056
MA,1820,13,Massachusetts,213,0.06103286384976526
MI,1820,NA,Michigan,213,NA
MN,1820,NA,Minnesota,213,NA
MS,1820,1,Mississippi,213,0.004694835680751174
MO,1820,1,Missouri,213,0.004694835680751174
MT,1820,NA,Montana,213,NA
NE,1820,NA,Nebraska,213,NA
NV,1820,NA,Nevada,213,NA
NH,1820,6,New Hampshire,213,0.028169014084507043
NJ,1820,6,New Jersey,213,0.028169014084507043
NM,1820,NA,New Mexico,213,NA
NY,1820,34,New York,213,0.1596244131455399
NC,1820,13,North Carolina,213,0.06103286384976526
ND,1820,NA,North Dakota,213,NA
OH,1820,14,Ohio,213,0.06572769953051644
OK,1820,NA,Oklahoma,213,NA
OR,1820,NA,Oregon,213,NA
PA,1820,26,Pennsylvania,213,0.12206572769953052
